Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Fafnir,2023-05-27 02:47:23.818000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-27 02:47:24.261000+00:00
wd-tod,----------------------------------------------------,2023-05-27 02:47:24.842000+00:00
