Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Adamantoise,2023-05-27 02:47:26.255000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-27 02:47:26.675000+00:00
wd-tod,----------------------------------------------------,2023-05-27 02:47:27.071000+00:00
