Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Fafnir/Nidhogg,2023-05-29 05:02:18.683000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-29 05:02:19.188000+00:00
wd-tod,----------------------------------------------------,2023-05-29 05:02:19.651000+00:00
