Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Fafnir,2023-05-29 05:00:14.515000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-29 05:00:14.929000+00:00
wd-tod,----------------------------------------------------,2023-05-29 05:00:15.323000+00:00
