Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Test,2023-05-27 02:47:28.477000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-27 02:47:28.836000+00:00
wd-tod,----------------------------------------------------,2023-05-27 02:47:29.209000+00:00
