Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - Behemoth,2023-05-27 02:47:21.495000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-27 02:47:21.904000+00:00
wd-tod,----------------------------------------------------,2023-05-27 02:47:22.258000+00:00
