Author,Content,Timestamp
wd-tod,- Adamantoise (**2**): <t:1685343820:T> <t:1685343820:R>,2023-05-29 05:15:12.177000+00:00
wd-tod,- King Arthro: <t:1685347203:T> <t:1685347203:R>,2023-05-29 05:15:13.067000+00:00
wd-tod,- Behemoth/King Behemoth (**4**): <t:1685354612:T> <t:1685354612:R>,2023-05-29 05:15:13.924000+00:00
wd-tod,- Shikigami Weapon: <t:1685358545:T> <t:1685358545:R>,2023-05-29 05:15:15.215000+00:00
wd-tod,- Fafnir/Nidhogg (**4**): <t:1685378744:T> <t:1685378744:R>,2023-05-29 05:15:16.036000+00:00
wd-tod,- Simurgh: <t:1685410518:T> <t:1685410518:R>,2023-05-29 05:15:16.795000+00:00
