Author,Content,Timestamp
wd-tod,@everyone First window in 30-Minutes - King Arthro: <t:1685016000:T> <t:1685016000:R,2023-05-27 02:47:19.254000+00:00
wd-tod,Window in 10-Minutes 'x' in.,2023-05-27 02:47:19.671000+00:00
wd-tod,----------------------------------------------------,2023-05-27 02:47:20.016000+00:00
